p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.0034738650452115797,0.001,0.01,0.1,25,0.0034459883619979608,0.898436,25391,250000,[774],0.9965540116380005,0.11072129789990606,0.06476588204390742,8,3,"[3, 6, 2]",3,8,3,1
0.003793835803838121,0.001,0.01,0.1,25,0.004041891964718774,0.890672,27332,250000,[900],0.9959581080353018,0.12093789857545763,0.07102053281118077,8,3,"[3, 6, 2]",3,8,3,1
0.004143278428827794,0.001,0.01,0.1,25,0.005016554630279924,0.8804420318980253,27069,226409,[1000],0.9949834453697138,0.13297381358482993,0.07861442761111669,8,3,"[3, 6, 2]",3,8,3,1
0.004524907514822488,0.001,0.01,0.1,25,0.0061440912274665456,0.8701402848466704,24290,187048,[1000],0.9938559087725316,0.14429398247705183,0.08625075265117536,8,3,"[3, 6, 2]",3,8,3,1
0.004941687692345045,0.001,0.01,0.1,25,0.006790848652356085,0.8623724803523114,23501,170758,[1000],0.9932091513476341,0.15615556476092818,0.0927969468344459,8,3,"[3, 6, 2]",3,8,3,1
0.005396856658103985,0.001,0.01,0.1,25,0.007887617229711076,0.8525900969058715,21920,148701,[1000],0.9921123827702832,0.16888966012257356,0.10208942980415046,8,3,"[3, 6, 2]",3,8,3,1
0.005893950326573491,0.001,0.01,0.1,25,0.009767151117362087,0.8413924591565037,19300,121684,[1000],0.990232848882642,0.18240154711673698,0.11250781372089388,8,3,"[3, 6, 2]",3,8,3,1
0.006436830298235144,0.001,0.01,0.1,25,0.011250112501125011,0.8285067156319033,18399,107287,[1000],0.9887498874988824,0.19830573305733057,0.1236049860498605,8,3,"[3, 6, 2]",3,8,3,1
0.007029713857864377,0.001,0.01,0.1,25,0.013831067343466895,0.8176163928123127,16128,88429,[1000],0.9861689326565353,0.21384213219734166,0.13346979986445554,8,3,"[3, 6, 2]",3,8,3,1
0.00767720673589913,0.001,0.01,0.1,25,0.017433143893169693,0.8010781219450884,14244,71606,[1000],0.9825668561068268,0.23344722987343539,0.15107562497820856,8,3,"[3, 6, 2]",3,8,3,1
0.008384338887392595,0.001,0.01,0.1,25,0.018959143046734288,0.787885577713048,14200,66945,[1000],0.9810408569532639,0.25143615508579015,0.1650962176509622,8,3,"[3, 6, 2]",3,8,3,1
