fidelity_evolution,single_count,two_qubit_count,telegate_count,reward_evolution
0.11111111111111116,1,0,0,111110.11111111117
0.14814814814814814,2,0,0,37036.03703703698
0.18518518518518523,3,0,0,37036.03703703709
0.2592592592592593,3,1,0,74069.07407407407
0.2857142857142857,3,1,1,1455.0264550263964
0.3571428571428571,3,2,1,71423.57142857139
0.4285714285714286,3,3,1,71423.57142857151
0.5172413793103448,3,3,2,63669.950738916144
0.5714285714285714,3,3,3,29187.192118226645
0.5862068965517242,3,4,3,14773.325123152803
0.6333333333333333,3,5,3,47121.4367816091
1.0,3,5,4,341666.6666666667
