fitness_evolution,fidelity_evolution,single_count,two_qubit_count,telegate_count
9748.331237448401,1.0,3,7,2
9748.717266911384,1.0,3,7,2
9749.10270425183,1.0,3,7,2
9749.487550377982,1.0,3,7,2
9749.871806196694,1.0,3,7,2
9750.255472613424,1.0,3,7,2
9750.638550532243,1.0,3,7,2
9751.021040855836,1.0,3,7,2
9751.402944485504,1.0,3,7,2
9751.784262321165,1.0,3,7,2
9752.164995261355,1.0,3,7,2
9752.545144203234,1.0,3,7,2
9752.924710042582,1.0,3,7,2
9753.303693673812,1.0,3,7,2
9753.682095989958,1.0,3,7,2
9754.059917882687,1.0,3,7,2
9754.4371602423,1.0,3,7,2
9754.813823957731,1.0,3,7,2
9755.189909916548,1.0,3,7,2
9755.56541900496,1.0,3,7,2
9755.94035210782,1.0,3,7,2
9756.314710108616,1.0,3,7,2
9756.688493889487,1.0,3,7,2
9757.061704331218,1.0,3,7,2
9757.43434231324,1.0,3,7,2
9757.806408713637,1.0,3,7,2
9758.177904409147,1.0,3,7,2
9758.548830275162,1.0,3,7,2
9758.919187185733,1.0,3,7,2
9759.288976013566,1.0,3,7,2
9759.658197630033,1.0,3,7,2
9760.026852905168,1.0,3,7,2
9760.39494270767,1.0,3,7,2
9760.762467904906,1.0,3,7,2
9761.12942936291,1.0,3,7,2
9761.495827946392,1.0,3,7,2
9761.861664518732,1.0,3,7,2
9762.22693994199,1.0,3,7,2
9762.591655076898,1.0,3,7,2
9762.95581078287,1.0,3,7,2
9763.319407918007,1.0,3,7,2
9763.682447339084,1.0,3,7,2
9764.044929901569,1.0,3,7,2
9764.406856459616,1.0,3,7,2
9764.76822786607,1.0,3,7,2
9765.129044972464,1.0,3,7,2
9765.489308629027,1.0,3,7,2
9765.849019684685,1.0,3,7,2
9766.208178987063,1.0,3,7,2
9766.566787382482,1.0,3,7,2
9766.924845715967,1.0,3,7,2
9767.282354831244,1.0,3,7,2
9767.639315570752,1.0,3,7,2
9767.99572877563,1.0,3,7,2
9768.35159528573,1.0,3,7,2
9768.706915939618,1.0,3,7,2
9769.061691574569,1.0,3,7,2
9769.415923026576,1.0,3,7,2
9769.769611130352,1.0,3,7,2
9770.122756719327,1.0,3,7,2
9770.475360625653,1.0,3,7,2
9770.827423680204,1.0,3,7,2
9771.178946712584,1.0,3,7,2
9771.52993055112,1.0,3,7,2
